iter	MAE
0	150508338.4
1	140253287.5
2	130907673.3
3	122230364.7
4	114700059
5	108159263.9
6	101851164.3
7	96592854.73
8	91474453.54
9	87738459.81
10	83683880.15
11	80124429.75
12	77035794.79
13	74159760.85
14	70981149.74
15	68175329.31
16	66203242.38
17	64503891.92
18	62633606.67
19	60468876.37
20	57674677.81
21	56356447.69
22	55567824.26
23	53367122.25
24	51660495.39
25	49921808.34
26	49328404.72
27	48788750.24
28	47573024.29
29	46438134.93
30	45236065.79
31	44321148.36
32	43700061.76
33	43494178.2
34	42770932.46
35	42218078.16
36	41789981.45
37	41296226.12
38	40921744.03
39	40375553.05
40	40222362.35
41	40087705.66
42	39743641.77
43	39441272.65
44	39345577.75
45	39167674.74
46	38892915.13
47	38597740.57
48	38382462.96
49	38259856.04
50	38222339.37
51	38113585.92
52	37912374.76
53	37814262.38
54	37735138.59
55	37596935.32
56	37494440.23
57	37430461.09
58	37250913.26
59	37211611.9
60	37176938.39
61	37031810.73
62	36906167.81
63	36877564.31
64	36812682.13
65	36625205.55
66	36473223.89
67	36261420.55
68	36149070.9
69	35956101.04
70	35889382.89
71	35826527.16
72	35636780.39
73	35552491.37
74	35512261.55
75	35418849.72
76	35374937.08
77	35265450.21
78	35194157.85
79	35146049.9
80	35002877.3
81	34816834.27
82	34659433.56
83	34636572.65
84	34566099.87
85	34476442.72
86	34442643.62
87	34351304.23
88	34185459.5
89	34055366.28
90	34003778.91
91	33829548.36
92	33557204.6
93	33543270.29
94	33398605.46
95	33189561.56
96	33151388.1
97	33016219.76
98	33011002.02
99	33007403.64
100	32893928.51
101	32766976.71
102	32600844.03
103	32597929.89
104	32593214.44
105	32572925.52
106	32506538.98
107	32480562.21
108	32432372.35
109	32168774.27
110	32165020.89
111	32160101.5
112	32158401.88
113	31934304.54
114	31932559.75
115	31898068.46
116	31704226.06
117	31532220.92
118	31489730.5
119	31428167.63
120	31424086.78
121	31420499.61
122	31304967.62
123	31302754.97
124	31097337.32
125	31069412.67
126	30939900.63
127	30837449.56
128	30832356.54
129	30741198.24
130	30737186.48
131	30673550.58
132	30599384.56
133	30474174.68
134	30472328.12
135	30454993.68
136	30452633.97
137	30441049.22
138	30400746.38
139	30397734.15
140	30394340.83
141	30383094.65
142	30382185.53
143	30286120.35
144	30134290.52
145	30130475.07
146	29980916.35
147	29884528.89
148	29736478.59
149	29723853.08
150	29721846.63
151	29719646.39
152	29595725.51
153	29533652.64
154	29406136.04
155	29350680.71
156	29297930.91
157	29295434.81
158	29245354.01
159	29074039.98
160	29071732.23
161	28992528.48
162	28837105.13
163	28681243.4
164	28679727.2
165	28557507.82
166	28555354.22
167	28419691.07
168	28274939.07
169	28146367.04
170	28137779.81
171	28056994.26
172	28025438.13
173	28016912.33
174	28016380
175	27862854.26
176	27856002.06
177	27827965.08
178	27825928.6
179	27813338.6
180	27812567.91
181	27811159.65
182	27798899.02
183	27766452.52
184	27658602.51
185	27479717.57
186	27364152.66
187	27362346.82
188	27356377.78
189	27240211.19
190	27238900.67
191	27171713.88
192	27161190.97
193	27022456.13
194	27011772.31
195	26906282.75
196	26777379.52
197	26775387.37
198	26703613.1
199	26605248.43
200	26446730.95
201	26402394.46
202	26317963.47
203	26213366.26
204	26182396.7
205	26177428.15
206	26166868.69
207	26164475.04
208	26114487.45
209	26048597.71
210	26048048.46
211	26046841.82
212	25959351.25
213	25930892.3
214	25902933.57
215	25795378.45
216	25794858.19
217	25749047.5
218	25704684.83
219	25644550.79
220	25576879.66
221	25528094.72
222	25436121.85
223	25435531
224	25434914.35
225	25434305.31
226	25433893.61
227	25394585.64
228	25324444.12
229	25238406.52
230	25070409.06
231	24941420.82
232	24939955.06
233	24847869.69
234	24846703.17
235	24845268.67
236	24842984.41
237	24840991.43
238	24810794.84
239	24809993.55
240	24767417.83
241	24761746.49
242	24729387.62
243	24591794.31
244	24584719.67
245	24503362.82
246	24502814.57
247	24502637.15
248	24448883.22
249	24446670.74
250	24386289.03
251	24375950.47
252	24375693.54
253	24369432.11
254	24369000.11
255	24275407.3
256	24197601.39
257	24114650.96
258	24074751.92
259	23956405.26
260	23886773.41
261	23885785.28
262	23803358.16
263	23712765.14
264	23711329.79
265	23710372.56
266	23710251.68
267	23707689.54
268	23585918.25
269	23538681.73
270	23468041.74
271	23359487.75
272	23274842.51
273	23229547.16
274	23163372.04
275	23028627.76
276	23027121.8
277	23000332.83
278	22987998.45
279	22960313.98
280	22894642.51
281	22889717.19
282	22886895.91
283	22863944.41
284	22863060.85
285	22854957.03
286	22823579.7
287	22748015.83
288	22658216.64
289	22621054.1
290	22609963.48
291	22609749.65
292	22609265.34
293	22577104.58
294	22520148.89
295	22517568.24
296	22511201.68
297	22510941.41
298	22510437.53
299	22454090.89
